iteration,vortex_area,omega_value,error,psi_min
1,0.04781860441731278,-20.91236271290989,0.014148758568408517,-0.043462002403859196
2,0.046890276578258734,-21.326383057925117,0.002855128941309276,-0.052464413314253375
3,0.04685107693538414,-21.344226545297467,0.002681739640943377,-0.05984319881675564
4,0.04906519153223042,-20.38104751599941,0.0022854316577101672,-0.06298076086419839
5,0.051845656853615765,-19.288018721094843,0.0015810274738680059,-0.06335853920737013
6,0.053980299067640805,-18.52527713392131,0.0008051593747847676,-0.06263138098371954
7,0.055030129124660994,-18.17186359375384,0.0008386111150476541,-0.06318414042189593
8,0.056578602353272944,-17.67452638289062,0.00027991569039250634,-0.061831206278523836
9,0.05694175190905248,-17.561805994258883,0.00014212379550213527,-0.061235210637273656
10,0.05694175190905248,-17.561805994258883,0.0,-0.061235210637273656
